調査年 コード,調査年,地域 コード,地域,総面積,耕地面積
2021100000,2021年度,1633,北海道 上士幌町,69423,11200
2021100000,2021年度,1634,北海道 鹿追町,40288,12200
2021100000,2021年度,1635,北海道 新得町,106383,6520
2021100000,2021年度,1636,北海道 清水町,40225,14900
2021100000,2021年度,1637,北海道 芽室町,51376,21400
2021100000,2021年度,1638,北海道 中札内村,29258,7110
2021100000,2021年度,1639,北海道 更別村,17690,11500
2021100000,2021年度,1641,北海道 大樹町,81568,14200
2021100000,2021年度,1642,北海道 広尾町,59654,6190
2021100000,2021年度,1643,北海道 幕別町,47764,22500
2021100000,2021年度,1644,北海道 池田町,37179,9510
2021100000,2021年度,1645,北海道 豊頃町,53671,11500
2021100000,2021年度,1646,北海道 本別町,39191,12000
2021100000,2021年度,1647,北海道 足寄町,140804,13400
2021100000,2021年度,1648,北海道 陸別町,60890,6060
2021100000,2021年度,1649,北海道 浦幌町,72985,11300
2021100000,2021年度,1661,北海道 釧路町,25266,948
2021100000,2021年度,1662,北海道 厚岸町,73927,9000
2021100000,2021年度,1663,北海道 浜中町,42363,14700
2021100000,2021年度,1664,北海道 標茶町,109937,28900
2021100000,2021年度,1665,北海道 弟子屈町,77433,10200
2021100000,2021年度,1667,北海道 鶴居村,57180,9470
2021100000,2021年度,1668,北海道 白糠町,77313,4790
2021100000,2021年度,1691,北海道 別海町,131963,63300
2021100000,2021年度,1692,北海道 中標津町,68487,24500
2021100000,2021年度,1693,北海道 標津町,62469,12000
2021100000,2021年度,1694,北海道 羅臼町,39772,740
2021100000,2021年度,2201,青森県 青森市,82461,8390
2021100000,2021年度,2202,青森県 弘前市,52420,13900
2021100000,2021年度,2203,青森県 八戸市,30556,4800
2021100000,2021年度,2204,青森県 黒石市,21705,3510
2021100000,2021年度,2205,青森県 五所川原市,40420,9270
2021100000,2021年度,2206,青森県 十和田市,72565,12300
2021100000,2021年度,2207,青森県 三沢市,11987,3780
2021100000,2021年度,2208,青森県 むつ市,86420,3130
2021100000,2021年度,2209,青森県 つがる市,25355,14300
2021100000,2021年度,2210,青森県 平川市,34601,5140
2021100000,2021年度,2301,青森県 平内町,21709,1510
2021100000,2021年度,2303,青森県 今別町,12527,564
2021100000,2021年度,2304,青森県 蓬田村,8084,1170
2021100000,2021年度,2307,青森県 外ヶ浜町,23030,768
2021100000,2021年度,2321,青森県 鰺ヶ沢町,34308,3250
2021100000,2021年度,2323,青森県 深浦町,48890,1440
2021100000,2021年度,2343,青森県 西目屋村,24602,364
2021100000,2021年度,2361,青森県 藤崎町,3729,2540
2021100000,2021年度,2362,青森県 大鰐町,16343,1590
2021100000,2021年度,2367,青森県 田舎館村,2235,1450
2021100000,2021年度,2381,青森県 板柳町,4188,3020
2021100000,2021年度,2384,青森県 鶴田町,4643,2940
2021100000,2021年度,2387,青森県 中泊町,21634,3680
2021100000,2021年度,2401,青森県 野辺地町,8168,652
2021100000,2021年度,2402,青森県 七戸町,33723,6950
2021100000,2021年度,2405,青森県 六戸町,8389,3460
2021100000,2021年度,2406,青森県 横浜町,12638,2180
2021100000,2021年度,2408,青森県 東北町,32650,8110
2021100000,2021年度,2411,青森県 六ヶ所村,25268,3730
2021100000,2021年度,2412,青森県 おいらせ町,7196,3230
2021100000,2021年度,2423,青森県 大間町,5209,334
2021100000,2021年度,2424,青森県 東通村,29527,1860
2021100000,2021年度,2425,青森県 風間浦村,6946,12
2021100000,2021年度,2426,青森県 佐井村,13505,303
2021100000,2021年度,2441,青森県 三戸町,15179,2440
2021100000,2021年度,2442,青森県 五戸町,17767,4380
2021100000,2021年度,2443,青森県 田子町,24198,2600
2021100000,2021年度,2445,青森県 南部町,15312,3610
2021100000,2021年度,2446,青森県 階上町,9400,1190
2021100000,2021年度,2450,青森県 新郷村,15077,1720
2021100000,2021年度,3201,岩手県 盛岡市,88647,8650
2021100000,2021年度,3202,岩手県 宮古市,125915,2020
2021100000,2021年度,3203,岩手県 大船渡市,32251,649
2021100000,2021年度,3205,岩手県 花巻市,90839,15800
2021100000,2021年度,3206,岩手県 北上市,43755,9070
2021100000,2021年度,3207,岩手県 久慈市,62350,2840
2021100000,2021年度,3208,岩手県 遠野市,82597,7050
2021100000,2021年度,3209,岩手県 一関市,125642,18100
2021100000,2021年度,3210,岩手県 陸前高田市,23194,814
2021100000,2021年度,3211,岩手県 釜石市,44035,757
2021100000,2021年度,3213,岩手県 二戸市,42042,4450
2021100000,2021年度,3214,岩手県 八幡平市,86230,9180
2021100000,2021年度,3215,岩手県 奥州市,99330,19800
2021100000,2021年度,3216,岩手県 滝沢市,18246,3410
2021100000,2021年度,3301,岩手県 雫石町,60882,6000
2021100000,2021年度,3302,岩手県 葛巻町,43496,3770
2021100000,2021年度,3303,岩手県 岩手町,36046,4800
2021100000,2021年度,3321,岩手県 紫波町,23898,5590
2021100000,2021年度,3322,岩手県 矢巾町,6732,2710
2021100000,2021年度,3366,岩手県 西和賀町,59074,2170
2021100000,2021年度,3381,岩手県 金ケ崎町,17976,4840
2021100000,2021年度,3402,岩手県 平泉町,6339,1420
2021100000,2021年度,3441,岩手県 住田町,33484,946
2021100000,2021年度,3461,岩手県 大槌町,20042,346
