調査年 コード,調査年,地域 コード,地域,事業所数,事業所数（宿泊業、飲食サービス業）,農家数（販売農家）,標準財政規模,人口密度,65歳以上人口割合,第3次産業就業者比率
2020100000,2020年度,1438,北海道 沼田町,***,***,***,2550160,37.2,42.626,56.13
2020100000,2020年度,1452,北海道 鷹栖町,***,***,***,3233036,87.3,34.597,68.44
2020100000,2020年度,1453,北海道 東神楽町,***,***,***,3530332,187.4,28.923,70.58
2020100000,2020年度,1454,北海道 当麻町,***,***,***,3417369,89.2,42.079,56.66
2020100000,2020年度,1455,北海道 比布町,***,***,***,2376920,82.8,41.506,59.29
2020100000,2020年度,1456,北海道 愛別町,***,***,***,2124945,57.5,46.296,54.6
2020100000,2020年度,1457,北海道 上川町,***,***,***,3405018,22.2,44.286,76.41
2020100000,2020年度,1458,北海道 東川町,***,***,***,4360661,105,33.185,65.91
2020100000,2020年度,1459,北海道 美瑛町,***,***,***,6210999,30.7,38.777,57.02
2020100000,2020年度,1460,北海道 上富良野町,***,***,***,4333801,86.7,32.026,70.96
2020100000,2020年度,1461,北海道 中富良野町,***,***,***,2700681,70.9,36.573,50.79
2020100000,2020年度,1462,北海道 南富良野町,***,***,***,2895248,24.1,32.239,62.02
2020100000,2020年度,1463,北海道 占冠村,***,***,***,1674870,26.1,23.354,84.57
2020100000,2020年度,1464,北海道 和寒町,***,***,***,2758429,39.2,44.298,52.98
2020100000,2020年度,1465,北海道 剣淵町,***,***,***,2517384,31.5,40.875,48.8
2020100000,2020年度,1468,北海道 下川町,***,***,***,3120533,34.9,40.211,55.33
2020100000,2020年度,1469,北海道 美深町,***,***,***,3588240,44.1,40.989,64.34
2020100000,2020年度,1470,北海道 音威子府村,***,***,***,1418887,18.2,29.462,72.99
2020100000,2020年度,1471,北海道 中川町,***,***,***,2262928,18.3,38.809,55.04
2020100000,2020年度,1472,北海道 幌加内町,***,***,***,2403811,10.4,40.803,57.32
2020100000,2020年度,1481,北海道 増毛町,***,***,***,2904516,81.6,44.217,54.1
2020100000,2020年度,1482,北海道 小平町,***,***,***,2671777,39.1,40.114,52.82
2020100000,2020年度,1483,北海道 苫前町,***,***,***,2739211,32.4,40.395,47.09
2020100000,2020年度,1484,北海道 羽幌町,***,***,***,3910264,73.3,43.25,66.54
2020100000,2020年度,1485,北海道 初山別村,***,***,***,1510232,21.5,38.981,55.48
2020100000,2020年度,1486,北海道 遠別町,***,***,***,2669605,25.9,41.032,52.38
2020100000,2020年度,1487,北海道 天塩町,***,***,***,3002751,19.6,37.186,60.04
2020100000,2020年度,1511,北海道 猿払村,***,***,***,2736055,20.5,23.554,42.03
2020100000,2020年度,1512,北海道 浜頓別町,***,***,***,2929828,41.2,37.5,57.8
2020100000,2020年度,1513,北海道 中頓別町,***,***,***,2162294,25.1,40.012,71.54
2020100000,2020年度,1514,北海道 枝幸町,***,***,***,6744299,35.4,35.638,51.43
2020100000,2020年度,1516,北海道 豊富町,***,***,***,3331086,16.6,34.147,55.92
2020100000,2020年度,1517,北海道 礼文町,***,***,***,2489375,153.7,36.269,50.43
2020100000,2020年度,1518,北海道 利尻町,***,***,***,2208237,72.9,40.369,58.14
2020100000,2020年度,1519,北海道 利尻富士町,***,***,***,2475437,63.9,38.283,56.01
2020100000,2020年度,1520,北海道 幌延町,***,***,***,2856507,17.5,28.722,56.75
2020100000,2020年度,1543,北海道 美幌町,***,***,***,6839425,109.8,35.904,64.73
2020100000,2020年度,1544,北海道 津別町,***,***,***,3457531,41.4,45.232,52.33
2020100000,2020年度,1545,北海道 斜里町,***,***,***,5760335,37,33.622,59.85
2020100000,2020年度,1546,北海道 清里町,***,***,***,3125634,29.4,38.218,50.34
2020100000,2020年度,1547,北海道 小清水町,***,***,***,3585706,31.9,38.33,47.7
2020100000,2020年度,1549,北海道 訓子府町,***,***,***,2879376,55,39.085,47.55
2020100000,2020年度,1550,北海道 置戸町,***,***,***,2844862,34,44.829,59.68
2020100000,2020年度,1552,北海道 佐呂間町,***,***,***,3341267,38.3,39.467,44.45
2020100000,2020年度,1555,北海道 遠軽町,***,***,***,9347484,95.7,37.576,75.04
2020100000,2020年度,1559,北海道 湧別町,***,***,***,5243303,49.7,39.25,46.82
2020100000,2020年度,1560,北海道 滝上町,***,***,***,2801326,25.3,44.775,61.53
2020100000,2020年度,1561,北海道 興部町,***,***,***,2927691,47.5,33.324,47.93
2020100000,2020年度,1562,北海道 西興部村,***,***,***,1400901,31.8,35.423,64.09
2020100000,2020年度,1563,北海道 雄武町,***,***,***,3694520,26.7,33.818,43.3
2020100000,2020年度,1564,北海道 大空町,***,***,***,5069611,35,37.004,49.21
2020100000,2020年度,1571,北海道 豊浦町,***,***,***,2855196,93.3,39.571,62.2
2020100000,2020年度,1575,北海道 壮瞥町,***,***,***,2101583,80.1,45.097,65.45
2020100000,2020年度,1578,北海道 白老町,***,***,***,6234327,217.9,45.818,62.73
2020100000,2020年度,1581,北海道 厚真町,***,***,***,3812638,44.7,36.394,52.31
2020100000,2020年度,1584,北海道 洞爺湖町,***,***,***,4252323,138.3,43.58,69.46
2020100000,2020年度,1585,北海道 安平町,***,***,***,4687802,62.5,36.948,56.89
2020100000,2020年度,1586,北海道 むかわ町,***,***,***,5451905,55.1,40.805,50.27
2020100000,2020年度,1601,北海道 日高町,***,***,***,6605653,49.3,36.014,54.99
2020100000,2020年度,1602,北海道 平取町,***,***,***,3543366,36.7,35.176,50.71
2020100000,2020年度,1604,北海道 新冠町,***,***,***,3457168,36.3,32.906,48.44
2020100000,2020年度,1607,北海道 浦河町,***,***,***,5506375,94.7,33.932,63.11
2020100000,2020年度,1608,北海道 様似町,***,***,***,2911303,112.1,42.295,51.84
