調査年 コード,調査年,地域 コード,地域,人口密度,65歳以上人口割合,標準財政規模,第1次産業就業者比率
2020100000,2020年度,23202,愛知県 岡崎市,2475.3,23.314,77737003,1.3
2020100000,2020年度,23203,愛知県 一宮市,3339.2,26.98,74858245,0.94
2020100000,2020年度,23204,愛知県 瀬戸市,2617.1,29.888,24814795,0.72
2020100000,2020年度,23205,愛知県 半田市,2558.2,24.254,26042591,1.43
2020100000,2020年度,23206,愛知県 春日井市,4081.5,25.765,59811100,0.66
2020100000,2020年度,23207,愛知県 豊川市,1801,26.122,39985793,4.87
2020100000,2020年度,23208,愛知県 津島市,2428.9,30.027,13351507,1.76
2020100000,2020年度,23209,愛知県 碧南市,1975.4,23.803,19093058,3.66
2020100000,2020年度,23210,愛知県 刈谷市,3083.5,20.17,37729762,1.06
2020100000,2020年度,23211,愛知県 豊田市,1442.4,23.065,126223605,1.66
2020100000,2020年度,23212,愛知県 安城市,2184.7,21.01,43260139,2.18
2020100000,2020年度,23213,愛知県 西尾市,1240.2,25.658,37434999,4.62
2020100000,2020年度,23214,愛知県 蒲郡市,2005.5,29.425,17745536,4.06
2020100000,2020年度,23215,愛知県 犬山市,1781.8,29.301,15205715,1.21
2020100000,2020年度,23216,愛知県 常滑市,1142.4,25.101,14363471,2.68
2020100000,2020年度,23217,愛知県 江南市,3253.5,27.103,19186922,0.8
2020100000,2020年度,23219,愛知県 小牧市,2656.3,24.968,36124172,1.03
2020100000,2020年度,23220,愛知県 稲沢市,1698.2,27.671,29114831,3.78
2020100000,2020年度,23221,愛知県 新城市,530.2,36.145,14924338,7.99
2020100000,2020年度,23222,愛知県 東海市,2672.3,21.975,30588683,2.11
2020100000,2020年度,23223,愛知県 大府市,2854.8,21.399,19639248,1.44
2020100000,2020年度,23224,愛知県 知多市,1944.8,27.809,17733947,1.79
2020100000,2020年度,23225,愛知県 知立市,4426.3,19.891,13985007,0.74
2020100000,2020年度,23226,愛知県 尾張旭市,4596.1,25.829,15675233,0.56
2020100000,2020年度,23227,愛知県 高浜市,3516.9,19.295,9601979,0.86
2020100000,2020年度,23228,愛知県 岩倉市,4582.9,24.998,9829563,0.97
2020100000,2020年度,23229,愛知県 豊明市,3131.3,26.153,14295453,1.04
2020100000,2020年度,23230,愛知県 日進市,3219.1,19.716,18063927,0.71
2020100000,2020年度,23231,愛知県 田原市,431.8,28.13,18069025,28.82
2020100000,2020年度,23232,愛知県 愛西市,912.3,31.551,15206217,7.15
2020100000,2020年度,23233,愛知県 清須市,3882,22.55,16553546,1.06
2020100000,2020年度,23234,愛知県 北名古屋市,4702.5,24.075,17817060,1.02
2020100000,2020年度,23235,愛知県 弥富市,877.7,26.171,10691613,3.88
2020100000,2020年度,23236,愛知県 みよし市,2027.2,18.133,17672044,1.59
2020100000,2020年度,23237,愛知県 あま市,3133,26.741,18424835,1.3
2020100000,2020年度,23238,愛知県 長久手市,3503.9,16.356,12660447,0.74
2020100000,2020年度,23302,愛知県 東郷町,2630.5,23.247,8649606,1.18
2020100000,2020年度,23342,愛知県 豊山町,2526.4,22.059,4547999,0.79
2020100000,2020年度,23361,愛知県 大口町,1785.8,23.736,6965376,1.21
2020100000,2020年度,23362,愛知県 扶桑町,3050.3,26.344,7184146,1.12
2020100000,2020年度,23424,愛知県 大治町,4916.4,20.578,5984032,1.09
2020100000,2020年度,23425,愛知県 蟹江町,3366.8,25.371,7543755,0.88
2020100000,2020年度,23427,愛知県 飛島村,204.1,31.016,4601872,9.52
2020100000,2020年度,23441,愛知県 阿久比町,1273.9,26.47,6192625,2.89
2020100000,2020年度,23442,愛知県 東浦町,1678.9,25.881,10415795,1.91
2020100000,2020年度,23445,愛知県 南知多町,602.3,38.822,5130814,17.84
2020100000,2020年度,23446,愛知県 美浜町,647.6,30.317,5352359,6.26
2020100000,2020年度,23447,愛知県 武豊町,1822.3,24.796,9211427,1.6
2020100000,2020年度,23501,愛知県 幸田町,1307.3,21.668,9609794,3.2
2020100000,2020年度,23561,愛知県 設楽町,162.4,51.003,3192096,18.51
2020100000,2020年度,23562,愛知県 東栄町,257.6,50.646,2145793,6.62
2020100000,2020年度,23563,愛知県 豊根村,94.3,52.409,1292747,12.8
2020100000,2020年度,24201,三重県 津市,929,29.411,68327285,2.48
2020100000,2020年度,24202,三重県 四日市市,1716.7,25.75,80608655,1.25
2020100000,2020年度,24203,三重県 伊勢市,1242.8,31.848,30607782,2.4
2020100000,2020年度,24204,三重県 松阪市,807.6,30.026,44172122,3.39
2020100000,2020年度,24205,三重県 桑名市,1312.9,26.753,31049103,1.59
2020100000,2020年度,24207,三重県 鈴鹿市,1233.6,24.517,39185319,2.5
2020100000,2020年度,24208,三重県 名張市,1251.2,32.512,16498548,2.21
2020100000,2020年度,24209,三重県 尾鷲市,948.2,43.822,6032176,5.4
2020100000,2020年度,24210,三重県 亀山市,706.7,25.631,13297126,2.51
2020100000,2020年度,24211,三重県 鳥羽市,540.9,39.287,6678998,12.68
2020100000,2020年度,24212,三重県 熊野市,350.2,44.554,7369728,7.68
2020100000,2020年度,24214,三重県 いなべ市,491.7,27.352,14072642,2.41
2020100000,2020年度,24215,三重県 志摩市,524.3,40.858,16684506,7.82
2020100000,2020年度,24216,三重県 伊賀市,406.8,32.595,27597469,5.2
2020100000,2020年度,24303,三重県 木曽岬町,382.7,33.372,2370548,8.96
2020100000,2020年度,24324,三重県 東員町,1233.1,31.07,6060557,1.19
2020100000,2020年度,24341,三重県 菰野町,761,26.209,9167586,2.28
2020100000,2020年度,24343,三重県 朝日町,2127.6,19.091,3042132,0.64
2020100000,2020年度,24344,三重県 川越町,1732.3,18.832,5081113,0.73
2020100000,2020年度,24441,三重県 多気町,319.3,34.577,5350143,9.3
2020100000,2020年度,24442,三重県 明和町,592.1,31.227,5848737,4.5
2020100000,2020年度,24443,三重県 大台町,316,43.32,4924593,7.36
2020100000,2020年度,24461,三重県 玉城町,532.4,28.309,4389865,6.03
2020100000,2020年度,24470,三重県 度会町,376,36.116,2862454,5.75
2020100000,2020年度,24471,三重県 大紀町,348.6,50.339,4683956,8.42
2020100000,2020年度,24472,三重県 南伊勢町,305,53.39,6044387,18.63
2020100000,2020年度,24543,三重県 紀北町,472.3,45.782,6138330,8.78
2020100000,2020年度,24561,三重県 御浜町,259.9,40.859,3369731,22.41
2020100000,2020年度,24562,三重県 紀宝町,545.5,37.467,4181720,5.99
2020100000,2020年度,25201,滋賀県 大津市,2771.6,26.249,71420301,1.06
2020100000,2020年度,25202,滋賀県 彦根市,1558.3,24.901,25379344,1.59
2020100000,2020年度,25203,滋賀県 長浜市,685.5,28.467,33967976,2.96
2020100000,2020年度,25204,滋賀県 近江八幡市,1013.4,27.727,18877749,3.35
2020100000,2020年度,25206,滋賀県 草津市,3095.6,20.886,27777751,1.33
2020100000,2020年度,25207,滋賀県 守山市,1835,21.743,17489889,2.13
2020100000,2020年度,25208,滋賀県 栗東市,2298.6,19.09,15169159,1.48
