調査年 コード,調査年,地域 コード,地域,C3107_耕地面積【ｈａ】
2021100000,2021年度,2304,青森県 蓬田村,1170
2021100000,2021年度,2307,青森県 外ヶ浜町,768
2021100000,2021年度,2321,青森県 鰺ヶ沢町,3250
2021100000,2021年度,2323,青森県 深浦町,1440
2021100000,2021年度,2343,青森県 西目屋村,364
2021100000,2021年度,2361,青森県 藤崎町,2540
2021100000,2021年度,2362,青森県 大鰐町,1590
2021100000,2021年度,2367,青森県 田舎館村,1450
2021100000,2021年度,2381,青森県 板柳町,3020
2021100000,2021年度,2384,青森県 鶴田町,2940
2021100000,2021年度,2387,青森県 中泊町,3680
2021100000,2021年度,2401,青森県 野辺地町,652
2021100000,2021年度,2402,青森県 七戸町,6950
2021100000,2021年度,2405,青森県 六戸町,3460
2021100000,2021年度,2406,青森県 横浜町,2180
2021100000,2021年度,2408,青森県 東北町,8110
2021100000,2021年度,2411,青森県 六ヶ所村,3730
2021100000,2021年度,2412,青森県 おいらせ町,3230
2021100000,2021年度,2423,青森県 大間町,334
2021100000,2021年度,2424,青森県 東通村,1860
2021100000,2021年度,2425,青森県 風間浦村,12
2021100000,2021年度,2426,青森県 佐井村,303
2021100000,2021年度,2441,青森県 三戸町,2440
2021100000,2021年度,2442,青森県 五戸町,4380
2021100000,2021年度,2443,青森県 田子町,2600
2021100000,2021年度,2445,青森県 南部町,3610
2021100000,2021年度,2446,青森県 階上町,1190
2021100000,2021年度,2450,青森県 新郷村,1720
2021100000,2021年度,3201,岩手県 盛岡市,8650
2021100000,2021年度,3202,岩手県 宮古市,2020
2021100000,2021年度,3203,岩手県 大船渡市,649
2021100000,2021年度,3205,岩手県 花巻市,15800
2021100000,2021年度,3206,岩手県 北上市,9070
2021100000,2021年度,3207,岩手県 久慈市,2840
2021100000,2021年度,3208,岩手県 遠野市,7050
2021100000,2021年度,3209,岩手県 一関市,18100
2021100000,2021年度,3210,岩手県 陸前高田市,814
2021100000,2021年度,3211,岩手県 釜石市,757
2021100000,2021年度,3213,岩手県 二戸市,4450
2021100000,2021年度,3214,岩手県 八幡平市,9180
2021100000,2021年度,3215,岩手県 奥州市,19800
2021100000,2021年度,3216,岩手県 滝沢市,3410
2021100000,2021年度,3301,岩手県 雫石町,6000
2021100000,2021年度,3302,岩手県 葛巻町,3770
2021100000,2021年度,3303,岩手県 岩手町,4800
2021100000,2021年度,3321,岩手県 紫波町,5590
2021100000,2021年度,3322,岩手県 矢巾町,2710
2021100000,2021年度,3366,岩手県 西和賀町,2170
2021100000,2021年度,3381,岩手県 金ケ崎町,4840
2021100000,2021年度,3402,岩手県 平泉町,1420
2021100000,2021年度,3441,岩手県 住田町,946
2021100000,2021年度,3461,岩手県 大槌町,346
2021100000,2021年度,3482,岩手県 山田町,434
2021100000,2021年度,3483,岩手県 岩泉町,2030
2021100000,2021年度,3484,岩手県 田野畑村,677
2021100000,2021年度,3485,岩手県 普代村,246
2021100000,2021年度,3501,岩手県 軽米町,2240
2021100000,2021年度,3503,岩手県 野田村,368
2021100000,2021年度,3506,岩手県 九戸村,1620
2021100000,2021年度,3507,岩手県 洋野町,2980
2021100000,2021年度,3524,岩手県 一戸町,3570
2021100000,2021年度,4100,宮城県 仙台市,5790
2021100000,2021年度,4101,宮城県 仙台市 青葉区,-
2021100000,2021年度,4102,宮城県 仙台市 宮城野区,-
2021100000,2021年度,4103,宮城県 仙台市 若林区,-
2021100000,2021年度,4104,宮城県 仙台市 太白区,-
2021100000,2021年度,4105,宮城県 仙台市 泉区,-
2021100000,2021年度,4202,宮城県 石巻市,9720
2021100000,2021年度,4203,宮城県 塩竈市,21
2021100000,2021年度,4205,宮城県 気仙沼市,1570
2021100000,2021年度,4206,宮城県 白石市,3030
2021100000,2021年度,4207,宮城県 名取市,2790
2021100000,2021年度,4208,宮城県 角田市,4410
2021100000,2021年度,4209,宮城県 多賀城市,318
2021100000,2021年度,4211,宮城県 岩沼市,1510
2021100000,2021年度,4212,宮城県 登米市,17600
2021100000,2021年度,4213,宮城県 栗原市,17400
2021100000,2021年度,4214,宮城県 東松島市,2820
2021100000,2021年度,4215,宮城県 大崎市,18400
2021100000,2021年度,4216,宮城県 富谷市,649
2021100000,2021年度,4301,宮城県 蔵王町,2110
2021100000,2021年度,4302,宮城県 七ヶ宿町,517
2021100000,2021年度,4321,宮城県 大河原町,555
2021100000,2021年度,4322,宮城県 村田町,1260
2021100000,2021年度,4323,宮城県 柴田町,939
2021100000,2021年度,4324,宮城県 川崎町,1690
2021100000,2021年度,4341,宮城県 丸森町,2400
2021100000,2021年度,4361,宮城県 亘理町,3180
2021100000,2021年度,4362,宮城県 山元町,1870
2021100000,2021年度,4401,宮城県 松島町,935
2021100000,2021年度,4404,宮城県 七ヶ浜町,147
2021100000,2021年度,4406,宮城県 利府町,376
2021100000,2021年度,4421,宮城県 大和町,2200
2021100000,2021年度,4422,宮城県 大郷町,2060
2021100000,2021年度,4424,宮城県 大衡村,1320
2021100000,2021年度,4444,宮城県 色麻町,2830
2021100000,2021年度,4445,宮城県 加美町,6140
2021100000,2021年度,4501,宮城県 涌谷町,3270
2021100000,2021年度,4505,宮城県 美里町,4940
2021100000,2021年度,4581,宮城県 女川町,4
2021100000,2021年度,4606,宮城県 南三陸町,829
2021100000,2021年度,5201,秋田県 秋田市,8880
2021100000,2021年度,5202,秋田県 能代市,7530
2021100000,2021年度,5203,秋田県 横手市,17600
2021100000,2021年度,5204,秋田県 大館市,7630
